HMDPX,HMDPY,HMDPZ,HMDRX,HMDRY,HMDRZ
0.231,1.7673,-1.0757,4.9628,350.622,4.7735
0.231,1.7673,-1.0756,4.9643,350.6497,4.7695
0.231,1.7672,-1.0754,5.0087,350.6803,4.7503
0.231,1.7672,-1.0753,5.0163,350.6687,4.7342
0.2309,1.7671,-1.0751,5.1014,350.6383,4.7335
0.2307,1.7669,-1.0749,5.205,350.6068,4.7301
0.2306,1.7667,-1.0748,5.3564,350.5609,4.7236
0.2306,1.7666,-1.0747,5.4332,350.5335,4.7552
0.2305,1.7665,-1.0747,5.4764,350.5381,4.7505
0.2305,1.7663,-1.0747,5.5673,350.5245,4.7716
0.2305,1.7663,-1.0747,5.5713,350.5204,4.7818
0.2304,1.7661,-1.0746,5.6549,350.5074,4.8108
0.2303,1.7657,-1.0745,5.8056,350.4189,4.8444
0.2302,1.7656,-1.0744,5.8712,350.3845,4.8733
0.2301,1.7654,-1.0743,5.9299,350.3438,4.8874
0.2301,1.7654,-1.0743,6.0008,350.3378,4.9142
0.2301,1.7653,-1.0742,6.0612,350.3406,4.9146
0.2301,1.7652,-1.0741,6.1061,350.3587,4.9278
0.2302,1.765,-1.0741,6.1789,350.3528,4.9121
0.2304,1.7649,-1.0741,6.3011,350.3459,4.8767
0.2304,1.7648,-1.0741,6.3337,350.3304,4.8742
0.2305,1.7646,-1.0741,6.4295,350.27,4.842
0.2306,1.7646,-1.0741,6.4482,350.2563,4.8452
0.2308,1.7644,-1.0742,6.5294,350.2307,4.7949
0.2309,1.7644,-1.0742,6.5472,350.225,4.7803
0.2311,1.7643,-1.0743,6.5598,350.2457,4.7665
0.2312,1.7642,-1.0744,6.6128,350.2339,4.7615
0.2313,1.7642,-1.0744,6.6344,350.2054,4.7477
0.2314,1.7642,-1.0744,6.6377,350.2006,4.7109
0.2315,1.7642,-1.0744,6.6379,350.2265,4.6915
0.2316,1.7642,-1.0743,6.6576,350.3134,4.6663
